feature_name,feature_description,ollama_reasoning,related_regulation,total_reward
Regional trial of autoplay behavior,"Enable video autoplay only for users in US. GH filters users, while Spanner logs click-through deltas.","The feature description does not mention any regulatory requirement, and the entities extracted do not reference any specific regulation.",None,3.0
South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH and monitored with FR flags.,"The feature description does not explicitly reference any legal regulations, and the entities do not mention any related laws. However, the keyword 'accessibility' is present in the feature description.",None,4.2
Age-specific notification controls with ASL,"Notifications will be tailored by age using ASL, allowing us to throttle or suppress push alerts for minors. EchoTrace will log adjustments, and CDS will verify enforcement across rollout waves.","The feature description mentions tailoring notifications by age to protect minors, which is explicitly mentioned in regulation (j) as a targeted measure to protect the rights of the child.",(j),5.0
Chat content restrictions via LCP,"Enforce message content constraints by injecting LCP rules on delivery. ShadowMode will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context is implied.","The feature is required to comply with legal regulations as it aims to take quick and reliable action against content that is harmful for vulnerable recipients of the service, such as minors.",Regulation,2.2
Video upload limits for new users,Introduce limits on video uploads from new accounts. IMT will trigger thresholds based on BB patterns. These limitations are partly for platform safety but without direct legal mapping.,"The feature description mentions that the limitations are partly for platform safety but does not mention any direct legal mapping, suggesting it's a business decision.",None,4.2
Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via CDS with Redline markers. The logic applies generally and is monitored through EchoTrace, with no mention of regional policies.","The feature is required to comply with legal regulations as it involves routing high-risk comment content via CDS with Redline markers, which allows for the identification of allegedly illegal content and facilitates notice and action mechanisms.",Such mechanisms should be clearly identifiable...,3.0
User behavior scoring for policy gating,Behavioral scoring via Spanner will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on BB divergence.,"The feature description mentions 'BB divergence' which is related to Baseline Behavior (BB) and anomaly detection, implying a regulatory requirement for content moderation processes.",Measures that those providers may identify and consider applying...,2.2
Minor-safe chat expansion via Jellybean,"We’re expanding chat features, but for users flagged by Jellybean, certain functions (e.g., media sharing) will be limited. BB and ASL will monitor compliance posture.","The feature is required by law/regulation as it mentions adapting the online interface to give recipients more information and taking targeted measures to protect the rights of the child, including age verification.",(j),4.2
Friend suggestions with underage safeguards,"New suggestion logic uses PF to recommend friends, but minors are excluded from adult pools using ASL and CDS logic. EchoTrace logs interactions in case future policy gates are needed.","The feature excludes minors from adult pools using ASL and CDS logic, which is in line with the regulation mentioned as Article 28 Online protection of minors.",Article 28 Online protection of minors,5.0
Reaction GIFs with embedded filtering,"Enable GIFs in comments, while filtering content deemed inappropriate for minor accounts. Softblock will apply if a flagged GIF is used by ASL-flagged profiles.","The feature is required to comply with regulations that protect minors from inappropriate content, as mentioned in the entities extracted from the feature: 'age': ['minors'].",Code of conduct on countering illegal hate speech online,3.4000000000000004
Longform posts with age-based moderation,"Longform post creation is now open to all. However, moderation for underage authors is stricter via Snowcap.","The feature description mentions moderation for underage authors via Snowcap, which is a child safety policy framework explicitly mentioned in the terminology dictionary.","Providers of intermediary services shall make publicly available, in a machine-readable format and in an easily accessible manner...",5.0
Custom avatar system with identity checks,"Users can now design custom avatars. For safety, T5 triggers block adult-themed assets from use by underage profiles. Age detection uses ASL and logs flow through GH.","The feature description mentions 'For safety, T5 triggers block adult-themed assets from use by underage profiles', indicating a requirement to comply with legal regulations regarding child protection.",115–395,5.0
